RESULTADO GERAL DAS MÉTRICAS POR CLASSE E RESOLUÇÕES : GLCM - ACURÁCIA E DESVIO PADRÃO (50 RODADAS | RESOLUÇÃO DE 5 ATÉ 35%)

       |      1%     |      2%     |      3%     |      4%     |      5%     |      6%     |      7%     |      8%     |      9%     |     10%     |     11%     |     12%     |     13%     |     14%     |     15%     |     16%     |     17%     |     18%     |     19%     |     20%     |     21%     |     22%     |     23%     |     24%     |     25%     |     26%     |     27%     |     28%     |     29%     |     30%     |     31%     
CLASSE |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   
  1      0.820|0.115   0.854|0.100   0.846|0.104   0.832|0.118   0.831|0.110   0.835|0.115   0.815|0.102   0.851|0.086   0.825|0.114   0.849|0.098   0.817|0.090   0.815|0.107   0.806|0.113   0.825|0.116   0.843|0.111   0.788|0.108   0.803|0.108   0.834|0.107   0.851|0.092   0.814|0.114   0.797|0.098   0.851|0.098   0.818|0.121   0.837|0.124   0.832|0.114   0.812|0.098   0.851|0.087   0.832|0.119   0.851|0.090   0.872|0.118   0.865|0.097
  2      0.829|0.103   0.826|0.109   0.815|0.112   0.812|0.102   0.858|0.110   0.814|0.101   0.826|0.127   0.835|0.121   0.837|0.094   0.840|0.089   0.851|0.094   0.777|0.114   0.860|0.077   0.823|0.126   0.798|0.118   0.832|0.105   0.835|0.109   0.848|0.107   0.838|0.113   0.797|0.099   0.832|0.118   0.791|0.111   0.794|0.083   0.823|0.097   0.851|0.096   0.831|0.119   0.831|0.093   0.814|0.102   0.829|0.103   0.848|0.106   0.795|0.109
  3      0.568|0.153   0.566|0.152   0.535|0.127   0.492|0.101   0.568|0.147   0.522|0.150   0.522|0.152   0.495|0.145   0.526|0.137   0.571|0.115   0.546|0.167   0.489|0.127   0.542|0.138   0.503|0.159   0.508|0.137   0.485|0.143   0.535|0.138   0.482|0.147   0.531|0.138   0.525|0.125   0.475|0.138   0.457|0.099   0.620|0.109   0.546|0.117   0.534|0.153   0.520|0.142   0.537|0.121   0.538|0.132   0.554|0.148   0.558|0.115   0.543|0.110
  4      0.508|0.131   0.505|0.124   0.468|0.127   0.478|0.128   0.471|0.137   0.442|0.134   0.442|0.142   0.425|0.157   0.446|0.114   0.446|0.132   0.445|0.133   0.434|0.141   0.409|0.126   0.506|0.136   0.432|0.140   0.426|0.155   0.382|0.145   0.429|0.125   0.425|0.125   0.446|0.118   0.417|0.133   0.448|0.140   0.455|0.146   0.432|0.132   0.532|0.118   0.449|0.144   0.435|0.144   0.463|0.138   0.465|0.135   0.426|0.125   0.480|0.131
  5      0.720|0.123   0.698|0.123   0.735|0.106   0.714|0.113   0.728|0.099   0.758|0.109   0.771|0.102   0.720|0.128   0.740|0.124   0.763|0.131   0.751|0.115   0.746|0.105   0.722|0.128   0.757|0.122   0.751|0.116   0.755|0.116   0.738|0.133   0.715|0.128   0.755|0.105   0.774|0.143   0.789|0.099   0.769|0.107   0.752|0.111   0.748|0.116   0.742|0.107   0.780|0.121   0.720|0.126   0.749|0.130   0.709|0.140   0.788|0.137   0.752|0.111
  6      0.855|0.111   0.852|0.104   0.831|0.088   0.868|0.085   0.875|0.093   0.817|0.112   0.846|0.101   0.837|0.099   0.869|0.070   0.895|0.085   0.872|0.095   0.862|0.087   0.835|0.091   0.895|0.085   0.888|0.080   0.894|0.089   0.891|0.085   0.889|0.078   0.882|0.101   0.874|0.088   0.872|0.090   0.880|0.085   0.866|0.082   0.862|0.101   0.894|0.076   0.855|0.089   0.868|0.093   0.863|0.087   0.883|0.087   0.885|0.087   0.871|0.089
  7      0.417|0.144   0.374|0.095   0.378|0.138   0.394|0.128   0.397|0.124   0.377|0.111   0.391|0.116   0.378|0.131   0.380|0.108   0.409|0.113   0.312|0.110   0.388|0.118   0.362|0.117   0.383|0.127   0.342|0.133   0.382|0.131   0.342|0.123   0.317|0.116   0.398|0.105   0.334|0.116   0.331|0.103   0.331|0.144   0.334|0.140   0.371|0.107   0.366|0.107   0.306|0.120   0.402|0.133   0.375|0.135   0.385|0.123   0.342|0.145   0.329|0.105

MÉDIA    0.674|0.126   0.668|0.115   0.658|0.115   0.656|0.111   0.675|0.117   0.652|0.119   0.659|0.120   0.649|0.124   0.660|0.109   0.682|0.109   0.656|0.115   0.644|0.114   0.648|0.113   0.670|0.124   0.652|0.119   0.652|0.121   0.647|0.120   0.645|0.116   0.669|0.111   0.652|0.115   0.645|0.111   0.647|0.112   0.663|0.113   0.660|0.113   0.679|0.110   0.651|0.119   0.663|0.114   0.662|0.120   0.668|0.118   0.674|0.119   0.662|0.107
