RESULTADO GERAL DAS MÉTRICAS POR CLASSE E RESOLUÇÕES : GLCM - ACURÁCIA E DESVIO PADRÃO (50 RODADAS | RESOLUÇÃO DE 70 ATÉ 100%)

       |      1%     |      2%     |      3%     |      4%     |      5%     |      6%     |      7%     
CLASSE |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   
  1      0.837|0.101   0.826|0.121   0.806|0.109   0.809|0.105   0.845|0.113   0.823|0.126   0.845|0.120
  2      0.815|0.103   0.831|0.104   0.766|0.099   0.697|0.154   0.695|0.122   0.734|0.129   0.685|0.124
  3      0.472|0.125   0.446|0.140   0.378|0.140   0.477|0.140   0.423|0.143   0.425|0.144   0.420|0.134
  4      0.480|0.109   0.442|0.149   0.383|0.110   0.440|0.116   0.417|0.140   0.358|0.103   0.382|0.134
  5      0.748|0.115   0.729|0.137   0.698|0.131   0.752|0.108   0.698|0.114   0.652|0.099   0.611|0.151
  6      0.843|0.086   0.860|0.090   0.868|0.085   0.868|0.079   0.938|0.066   0.811|0.096   0.868|0.091
  7      0.209|0.104   0.194|0.096   0.177|0.084   0.182|0.097   0.182|0.103   0.209|0.108   0.151|0.091

MÉDIA    0.629|0.106   0.618|0.120   0.582|0.108   0.604|0.114   0.600|0.114   0.573|0.115   0.566|0.120


SOMATÓRIO DOS ESCORES DE ACERTOS E ERROS DAS CLASSES EM CADA RODADA POR RESOLUÇÃO (50 RODADAS | RESOLUÇÃO DE 70 ATÉ 100%)

       |      1%     |      2%     |      3%     |      4%     |      5%     |      6%     |      7%     
RODADA |   ACE|ERR   |   ACE|ERR   |   ACE|ERR   |   ACE|ERR   |   ACE|ERR   |   ACE|ERR   |   ACE|ERR   
  1        381|016       3.375000e+02|023       3.485000e+02|6.500000e+00       271|046       3.425000e+02|7.500000e+00       3.375000e+02|2.650000e+01       3.035000e+02|031
  2        3.615000e+02|2.750000e+01       3.425000e+02|021       3.225000e+02|028       3.325000e+02|015       365|6.500000e+00       3.645000e+02|1.450000e+01       3.245000e+02|2.750000e+01
  3        299|3.950000e+01       3.675000e+02|3.050000e+01       3.205000e+02|035       290|052       354|1.450000e+01       3.395000e+02|1.550000e+01       268|048
  4        339|2.250000e+01       3.405000e+02|3.750000e+01       3.265000e+02|2.050000e+01       3.395000e+02|3.850000e+01       3.135000e+02|049       2.895000e+02|051       336|1.250000e+01
  5        3.355000e+02|3.050000e+01       301|065       320|3.750000e+01       3.375000e+02|3.250000e+01       292|018       3.235000e+02|025       3.305000e+02|1.950000e+01
  6        3.105000e+02|031       388|2.850000e+01       323|027       356|2.450000e+01       3.505000e+02|3.950000e+01       3.145000e+02|4.250000e+01       286|4.250000e+01
  7        3.185000e+02|3.450000e+01       3.105000e+02|031       3.205000e+02|2.450000e+01       277|023       3.015000e+02|011       2.965000e+02|2.350000e+01       2.905000e+02|030
  8        3.705000e+02|3.050000e+01       324|040       2.645000e+02|6.950000e+01       333|2.350000e+01       2.955000e+02|5.550000e+01       3.055000e+02|3.650000e+01       3.155000e+02|2.950000e+01
  9        3.575000e+02|030       3.315000e+02|2.950000e+01       294|031       3.605000e+02|036       345|1.850000e+01       286|3.750000e+01       2.605000e+02|048
 10        3.215000e+02|1.750000e+01       3.495000e+02|016       330|036       353|018       315|016       339|015       323|3.350000e+01
